id;family;module;method;path;phase;notes
meta-tournament-matches;system;meta;GET;/tournaments/{tournamentId}/matches;template;requires a tournament id
meta-tournament-create;system;meta;POST;/tournaments;stateful;requires tournament payload
meta-tournament-join;system;meta;POST;/tournaments/{tournamentId}/join;template;requires a tournament id
meta-tournament-start;system;meta;POST;/tournaments/{tournamentId}/start;template;requires a tournament id
meta-match-report;system;meta;POST;/tournaments/matches/{matchId}/report;template;requires a match id
meta-tournament-finish;system;meta;POST;/tournaments/{tournamentId}/finish;template;requires a tournament id
meta-tournament-cancel;system;meta;DELETE;/tournaments/{tournamentId};template;requires a tournament id
meta-risk-status;system;meta;POST;/risk/{flagId}/status;template;requires a risk flag id
admin-user;system;admin;GET;/users/{targetUserId};template;requires a target user id
admin-sync;system;admin;POST;/sync;stateful;admin operation
admin-pay;system;admin;POST;/pay;stateful;admin operation
admin-clear-bets;system;admin;POST;/clear-bets;stateful;admin operation
admin-rename;system;admin;POST;/rename;stateful;admin operation
